No,card,credit1,credit2,work,age,sex,90days,14days,CP
99,B,800000,200000,4,55,1,13562,10121,1
100,B,1000000,700000,8,84,1,37008,6324,1
101,A,800000,800000,2,58,1,20627,48398,1
102,B,1300000,1300000,12,72,1,3112,710,1
103,B,800000,300000,4,53,1,0,24453,1
104,B,800000,300000,5,53,1,26804,15108,1
105,B,1300000,1300000,2,51,1,23826,51768,1
106,B,800000,800000,5,76,1,11064,11877,1
107,B,800000,300000,7,70,1,17148,6570,1
108,B,800000,300000,4,48,1,289030,9599,1
109,B,1000000,1000000,5,51,1,44156,61058,1
110,B,700000,300000,7,44,1,10609,25230,1
111,B,1300000,1300000,2,45,1,0,105930,1
112,B,800000,800000,2,49,1,0,6975,1
113,B,700000,700000,2,51,1,0,18036,1
114,B,1000000,1000000,2,46,1,81797,44812,1
115,B,800000,300000,7,51,1,,40950,1
116,B,500000,300000,7,51,1,0,39240,1
117,B,600000,600000,2,48,1,0,16884,1
118,A,800000,800000,2,54,1,0,112132,1
119,B,1300000,700000,2,61,1,217757,91109,1
120,B,1200000,1200000,2,53,0,116751,43650,1
121,B,800000,300000,7,51,1,8800,30332,1
122,B,800000,300000,8,71,1,29059,641,1
123,B,500000,500000,8,81,1,20669,52504,1
124,B,800000,300000,7,52,1,805,10854,1
125,B,500000,500000,8,89,1,67737,17559,1
126,B,800000,300000,8,74,1,7106,875,1
127,B,600000,400000,8,68,0,96010,5452,1
128,B,1000000,1000000,3,53,0,5615,15687,1
129,B,800000,800000,2,54,0,61361,12845,1
130,B,700000,300000,7,45,1,31016,12814,1
131,B,1200000,1200000,4,46,1,11505,52645,1
132,B,800000,800000,2,62,1,10941,3555,1
133,B,800000,300000,2,57,1,4484,6041,1
134,B,500000,500000,8,87,1,0,95,1
135,B,800000,800000,4,56,1,108169,28351,1
136,B,1100000,300000,7,51,1,48318,1750,1
137,B,1200000,1200000,2,53,1,131255,180000,1
138,B,1300000,500000,4,69,1,72687,8892,1
139,B,800000,800000,2,55,1,32997,37912,1
140,B,800000,800000,4,68,1,187029,38070,1
141,B,700000,700000,8,74,0,8113,6345,1
142,B,1000000,300000,4,57,1,147820,49749,1
143,B,800000,800000,7,54,1,20113,2001,1
144,B,1300000,1300000,2,60,0,0,8910,1
145,B,800000,800000,2,57,0,5947,5940,1
146,B,700000,700000,2,42,1,15489,8910,1
147,B,800000,800000,2,40,1,93624,2857,1
148,B,800000,800000,2,55,1,17459,28116,1
149,B,1200000,500000,2,64,1,545270,57795,1
150,B,1300000,1300000,2,48,0,52791,2614,1
151,B,800000,300000,4,42,1,13568,41250,1
152,B,1200000,300000,7,50,1,80794,31376,1
153,B,800000,800000,3,44,1,1996,51480,1
154,B,700000,700000,2,54,1,3970,31779,1
155,B,800000,800000,2,59,0,6101,22464,1
156,B,700000,700000,2,63,0,301086,8432,1
157,B,1000000,1000000,7,52,1,7106,7812,1
158,A,700000,700000,2,49,0,48300,69633,1
159,B,800000,800000,4,52,1,152,32047,1
160,B,800000,800000,1,67,0,6723,18497,1
161,B,800000,800000,2,51,1,,22458,1
162,B,800000,800000,2,50,1,63642,5129,1
163,B,500000,500000,2,47,1,6347,10890,1
164,B,1100000,1100000,2,62,1,26125,28710,1
165,B,1300000,1300000,2,52,1,6717,5445,1
166,B,800000,800000,2,49,1,,132660,1
167,B,1200000,1200000,4,46,1,28643,4693,1
168,B,800000,300000,7,55,1,17328,14445,1
169,B,1000000,300000,7,50,1,29734,8802,1
170,B,800000,800000,2,53,1,0,13455,1
171,B,800000,800000,4,54,1,295362,87025,1
172,B,700000,300000,12,48,1,63133,180000,1
173,B,1200000,1200000,8,92,0,25053,3027,1
174,B,800000,800000,1,64,1,0,0,1
175,B,500000,300000,4,61,1,14269,2464,1
176,A,700000,700000,2,46,1,0,27324,1
177,B,800000,300000,4,74,1,0,70290,1
178,B,800000,300000,7,47,1,14416,21105,1
179,B,1300000,1300000,2,58,1,16617,7388,1
180,B,800000,800000,2,53,0,3392,15702,1
181,B,1000000,1000000,2,58,1,47710,16920,1
182,B,1300000,1300000,2,59,0,2460,3439,1
183,B,800000,800000,2,47,0,11185,166705,1
184,B,700000,700000,2,49,1,7866,10395,1
185,B,1200000,1200000,4,51,1,198208,26127,1
186,B,1200000,1200000,8,69,1,74467,5158,1
187,B,1300000,300000,7,57,1,63668,11209,1
188,B,1000000,1000000,4,49,1,26560,23445,1
189,B,1300000,300000,7,46,1,213539,48446,1
190,B,800000,800000,2,52,1,0,52619,1
191,B,1200000,1000000,7,48,1,116577,22540,1
192,B,800000,800000,2,49,1,25241,5628,1
193,B,1200000,300000,5,41,1,79888,84021,1
194,B,1300000,1300000,10,50,1,12559,66007,1
195,B,800000,700000,4,62,1,9000,23850,1
196,B,1200000,1200000,2,43,1,51549,78356,1
197,B,800000,800000,4,65,1,4044,20459,1
198,B,800000,300000,4,49,1,48599,18702,1
199,B,1300000,1300000,2,46,1,513470,24608,1
200,B,1300000,1300000,1,50,1,132080,63569,1
201,B,800000,800000,7,54,1,,8010,1
202,B,800000,800000,2,47,1,4788,6039,1
203,B,1300000,300000,7,61,1,106760,12564,1
204,B,800000,800000,5,90,0,25597,10144,1
205,B,600000,600000,8,90,0,9311,16524,1
206,B,600000,600000,8,88,0,60314,1188,1
207,B,1300000,300000,4,73,1,63805,1530,1
208,B,1300000,800000,4,73,1,39770,10980,1
209,R,600000,300000,7,45,1,13756,89114,1
210,B,800000,800000,8,74,1,8556,22332,1
211,B,800000,300000,2,62,0,,2100,1
212,A,200000,200000,8,78,1,12267,14863,1
213,B,800000,800000,8,75,0,15791,32355,1
214,B,1300000,1100000,8,67,0,171875,2304,1
215,B,800000,800000,2,48,0,0,54054,1
216,B,800000,800000,2,48,1,0,17820,1
217,B,800000,800000,2,50,0,0,28116,1
218,B,1200000,1200000,4,44,1,30322,30483,1
219,B,1000000,1000000,2,59,0,0,48600,1
220,B,700000,700000,8,77,1,105709,20665,1
221,A,800000,800000,8,74,0,0,70211,1
222,B,1300000,1300000,1,57,0,0,6802,1
223,B,1100000,300000,8,74,1,4655,7611,1
224,B,800000,800000,1,65,1,65356,180000,1
225,B,800000,800000,4,60,1,34168,21854,1
226,B,1300000,500000,5,76,1,15675,57217,1
227,B,1300000,1300000,2,74,0,60662,3715,1
228,B,1300000,1300000,2,66,0,49044,62865,1
229,B,1300000,1300000,5,65,1,25150,13232,1
230,A,1200000,1200000,2,40,1,126756,49644,1
231,B,800000,800000,2,61,1,278268,148590,1
232,B,800000,300000,7,50,1,15435,1485,1
233,B,1300000,1300000,1,52,1,85352,38452,1
234,B,1200000,1200000,1,83,1,75763,25830,1
235,B,800000,800000,1,56,1,,3420,1
236,A,800000,800000,10,46,0,40860,34947,1
237,B,1300000,1300000,2,66,0,9246,6858,1
238,B,1300000,500000,7,61,1,28534,15536,1
239,B,800000,800000,2,59,1,1254,2565,1
240,R,800000,800000,2,49,0,0,81603,1
241,B,1200000,1200000,2,56,1,529771,101988,1
242,B,800000,800000,5,72,0,43749,88273,1
243,B,800000,800000,2,68,0,1665,10545,1
244,B,800000,800000,13,54,0,26323,37947,1
245,R,800000,800000,2,62,0,131828,67320,1
246,B,800000,800000,1,62,0,0,23760,1
247,B,1000000,1000000,2,58,0,47544,40590,1
248,B,400000,300000,7,40,1,33500,12753,1
249,B,800000,800000,2,43,1,0,17496,1
250,B,800000,300000,7,52,1,31033,13455,1
251,B,1300000,1000000,2,59,1,0,102573,1
252,B,800000,300000,4,68,1,0,7184,1
253,R,1300000,1300000,2,44,1,203945,38720,1
254,B,800000,800000,2,41,1,8406,38739,1
255,B,1000000,1000000,3,52,1,16069,1516,1
256,A,1000000,300000,8,46,1,200846,33484,1
257,B,800000,300000,4,53,1,705000,32428,1
258,B,1300000,1300000,2,55,1,7005,61337,1
259,B,800000,300000,3,44,1,6766,11730,1
260,B,700000,300000,7,42,1,10931,8802,1
261,B,800000,800000,8,68,1,2889,2063,1
262,B,800000,300000,7,45,1,,26235,1
263,B,1100000,1100000,2,52,1,118453,143691,1
264,B,800000,800000,2,46,1,0,62460,1
265,B,800000,300000,7,48,1,0,18171,1
266,B,600000,500000,5,57,1,1972,26821,1
267,B,1200000,1200000,10,55,1,337919,900,1
268,B,700000,700000,2,60,1,101541,12360,1
269,B,1200000,1200000,8,85,0,3224,0,1
270,B,600000,300000,8,88,1,65663,4276,1
271,B,600000,600000,8,88,1,13053,4085,1
272,B,800000,800000,1,71,1,11336,894,1
273,B,1300000,1300000,3,52,1,20079,142560,1
274,B,800000,800000,4,64,1,47324,33841,1
275,B,800000,800000,3,61,1,45835,10069,1
276,B,800000,800000,2,65,0,6270,1440,1
277,B,800000,800000,7,66,1,0,8090,1
278,B,800000,500000,5,62,1,1140,12573,1
279,B,800000,800000,2,50,1,4598,99918,1
280,B,1500000,1500000,3,61,0,33684,7406,1
281,B,700000,300000,7,47,1,0,12375,1
282,B,800000,800000,2,49,1,7334,29624,1
283,B,800000,800000,4,60,1,20648,18402,1
284,B,800000,800000,2,42,1,0,36593,1
285,B,1200000,300000,4,60,1,37221,4282,1
286,B,800000,800000,2,61,1,10966,11115,1
287,B,800000,800000,5,72,1,0,17083,1
288,B,800000,300000,3,36,1,0,10692,1
289,B,1200000,1200000,2,48,1,0,28696,1
290,B,500000,300000,7,56,1,1921,8451,1
291,B,800000,800000,4,59,1,28666,10951,1
292,A,600000,300000,4,44,1,9700,53884,1
293,B,600000,600000,2,59,1,151648,4076,1
294,B,800000,800000,7,65,1,30840,11673,1
295,B,600000,600000,2,43,1,0,19890,1
296,B,800000,800000,2,56,1,68305,17325,1
297,B,1300000,1300000,2,48,1,59668,2957,1
298,B,800000,700000,4,56,1,43988,16462,1
299,B,800000,300000,7,54,1,19495,28413,1
300,B,800000,300000,7,61,1,111447,82260,1
301,B,800000,300000,7,68,1,0,9405,1
302,B,1100000,300000,7,53,1,3144,19398,1
303,B,800000,800000,7,68,1,12750,38205,1
304,B,1300000,1300000,3,44,1,0,11988,1
305,B,700000,700000,2,48,0,0,26028,1
306,A,400000,400000,5,64,1,768520,1094,1
307,B,1200000,1200000,2,54,1,0,13950,1
308,B,1000000,300000,7,48,1,65745,26091,1
309,B,700000,700000,2,42,1,39146,15920,1
310,B,200000,200000,5,40,1,40564,39475,1
311,B,300000,300000,13,52,1,979,3861,1
312,B,800000,800000,3,37,1,3283,63936,1
313,B,1300000,300000,7,37,1,30014,27891,1
314,B,800000,300000,7,69,1,43666,1507,1
315,B,600000,600000,5,52,0,5792,22770,1
316,B,800000,800000,3,40,1,53156,45585,1
317,B,700000,300000,7,60,1,0,41580,1
318,B,1200000,1200000,2,42,1,360887,83745,1
319,B,1300000,500000,2,49,1,0,30708,1
320,A,1300000,1100000,2,37,1,73022,28180,1
321,B,700000,300000,8,82,1,1914,11914,1
322,B,1100000,300000,4,78,1,9681,7515,1
323,B,600000,600000,2,38,0,56449,41651,1
324,B,1300000,300000,7,46,1,41505,10395,1
325,B,1300000,1300000,2,49,1,0,66330,1
326,R,1200000,1200000,4,47,1,49639,7254,1
327,B,100000,100000,3,49,1,14580,10782,1
328,B,1100000,1100000,4,41,1,9900,6822,1
329,B,600000,600000,2,41,1,0,27614,1
330,B,700000,700000,4,69,1,314,28167,1
331,B,800000,800000,2,42,1,15467,43650,1
332,B,800000,300000,7,43,1,58393,7406,1
333,B,800000,800000,7,74,1,16292,4500,1
334,B,800000,800000,8,70,0,34485,4707,1
335,B,800000,800000,2,45,1,35000,37242,1
336,B,1300000,1300000,2,55,1,55388,57772,1
337,B,1200000,1200000,4,49,1,141239,27418,1
338,B,500000,300000,7,44,1,,13950,1
339,B,700000,700000,2,51,0,,15930,1
340,B,1000000,1000000,3,71,0,10584,4368,1
341,B,800000,800000,2,53,1,100881,21820,1
342,B,800000,800000,2,66,1,5292,11178,1
343,B,800000,800000,8,83,1,12705,4545,1
344,B,600000,600000,8,74,1,,23525,1
345,B,600000,300000,8,86,1,15432,1884,1
346,A,800000,800000,4,85,1,,41954,1
347,B,700000,300000,7,77,1,11286,2890,1
348,B,800000,300000,4,72,1,2879,3555,1
349,B,500000,200000,7,56,1,0,9711,1
350,B,1300000,1300000,2,57,0,37807,58104,1
351,B,1000000,1000000,2,61,0,1129,9308,1
352,B,300000,300000,5,53,1,2859,36720,1
353,B,1200000,1200000,4,68,1,300086,34344,1
354,B,1000000,1000000,1,54,0,62757,85860,1
355,B,800000,800000,2,51,1,5529,122274,1
356,B,1300000,1300000,2,56,0,16146,1655,1
357,A,1200000,300000,8,71,1,153179,8332,1
358,B,800000,300000,7,55,1,59350,3384,1
359,B,1300000,1300000,5,49,0,360525,190000,1
360,B,800000,300000,4,72,1,49321,972,1
361,B,800000,800000,2,58,1,106176,4431,1
362,B,1300000,1300000,8,78,1,23708,9850,1
363,R,800000,800000,10,47,1,24872,34650,1
364,B,1200000,600000,7,58,1,0,24840,1
365,R,800000,800000,2,65,0,,39303,1
366,B,800000,800000,2,47,1,0,0,1
367,B,400000,400000,2,42,0,,54540,1
368,B,1300000,300000,7,57,1,919,12942,1
369,R,600000,600000,2,49,1,58000,11430,1
370,B,800000,800000,3,46,0,0,20626,1
371,B,500000,300000,4,44,1,749,95238,1
372,B,800000,800000,2,59,0,35168,2682,1
373,B,600000,600000,2,57,0,10097,38931,1
374,B,400000,400000,8,85,0,27540,22835,1
375,R,1300000,300000,4,60,1,106521,406,1
376,B,1300000,1300000,2,61,0,10614,751,1
377,B,800000,800000,8,82,1,0,13959,1
378,B,1100000,300000,4,47,1,0,20691,1
379,B,300000,300000,3,53,1,38624,35589,1
380,B,1500000,1500000,2,54,0,58650,39610,1
381,B,800000,800000,2,51,1,82090,13722,1
382,B,1100000,1100000,2,39,1,61494,21276,1
383,B,800000,800000,1,43,0,11913,81180,1
384,B,700000,700000,2,41,1,8465,43155,1
385,B,800000,800000,8,69,0,0,2583,1
386,B,1000000,1000000,1,80,0,17846,4419,1
387,B,800000,300000,7,56,1,836,37567,1
388,B,800000,800000,12,48,1,21717,4851,1
389,B,700000,700000,2,43,0,44701,111799,1
390,B,1300000,1300000,2,37,1,6411,10890,1
391,B,200000,200000,5,42,1,21337,26325,1
392,B,700000,700000,2,41,1,23671,47729,1
393,B,800000,500000,8,79,1,0,16767,1
394,B,800000,800000,4,43,1,32652,132795,1
395,B,1100000,1100000,4,46,1,14832,3443,1
396,B,800000,800000,5,68,1,7206,4629,1
397,B,700000,700000,2,51,1,25652,19476,1
398,B,800000,800000,2,40,0,,27315,1
399,B,800000,800000,2,60,0,21843,63918,1
400,B,1300000,300000,4,66,1,10346,8010,1
401,B,700000,700000,1,41,1,132070,53460,1
402,B,800000,300000,8,76,1,0,0,1
403,B,700000,700000,2,37,1,0,97332,1
404,B,400000,300000,2,46,1,55196,16101,1
405,B,800000,800000,3,63,1,14624,72179,1
406,A,800000,800000,4,66,1,53580,138600,1
407,B,800000,800000,2,57,1,392774,153252,1
408,B,700000,700000,7,68,1,186526,185022,1
409,B,700000,700000,7,68,1,,185022,1
410,B,700000,700000,2,44,1,0,26408,1
411,B,800000,800000,2,55,1,41561,17523,1
412,B,700000,700000,2,47,1,15951,11958,1
413,B,800000,800000,2,45,1,34627,51425,1
414,B,800000,800000,2,70,0,0,15332,1
415,B,800000,800000,2,43,1,25006,23717,1
416,B,800000,800000,5,63,0,0,20520,1
417,B,800000,800000,8,73,1,92488,3424,1
418,B,700000,300000,7,68,1,,10044,1
419,B,800000,800000,4,76,1,9281,2912,1
420,B,800000,800000,2,43,1,30754,0,1
421,B,1300000,1300000,2,51,0,62081,4482,1
422,B,800000,800000,2,56,0,13000,5398,1
423,A,1300000,1300000,8,84,1,9814,972,1
424,B,800000,800000,3,49,1,,882,1
425,B,500000,500000,2,49,1,0,34580,1
426,B,800000,800000,2,52,1,9601,5934,1
427,B,1300000,1300000,2,61,0,17808,5958,1
428,B,1000000,900000,12,62,1,177548,60870,1
429,B,1300000,1300000,5,64,1,586689,8415,1
430,B,800000,300000,4,69,1,47821,13662,1
431,A,700000,700000,2,40,0,35867,47520,1
432,B,800000,800000,3,42,0,4376,0,1
433,B,800000,800000,8,82,1,29030,6723,1
434,B,800000,800000,3,45,1,65305,26820,1
435,B,800000,300000,8,71,1,71203,56752,1
436,B,1300000,1100000,5,61,1,3556,10726,1
437,B,800000,800000,2,50,0,,24840,1
438,B,800000,800000,5,48,1,2954,45891,1
439,B,700000,700000,7,51,1,308,134991,1
440,B,700000,300000,7,51,1,23969,41388,1
441,B,600000,300000,7,47,1,0,35436,1
442,R,800000,800000,5,62,1,1653,9882,1
443,B,600000,600000,2,39,1,6354,46854,1
444,B,1200000,1200000,2,42,1,166660,24747,1
445,B,1200000,1200000,2,42,1,0,24747,1
446,B,800000,500000,2,37,1,0,25061,1
447,B,800000,800000,3,42,0,29083,36720,1
448,B,800000,800000,2,43,1,0,32490,1
449,A,800000,800000,2,41,1,23560,71973,1
450,B,800000,300000,4,56,1,0,18823,1
451,B,800000,800000,2,39,1,3117,1602,1
452,B,800000,300000,7,55,1,,10890,1
453,B,1000000,300000,2,42,1,26518,6534,1
454,B,800000,300000,2,39,1,0,2331,1
455,B,1800000,1800000,3,52,1,774267,180000,1
456,B,1300000,1300000,2,48,1,99940,22310,1
457,B,700000,300000,7,54,1,0,11549,1
458,B,800000,800000,2,38,1,0,6436,1
459,B,700000,700000,5,39,1,11039,41521,1
460,B,800000,300000,2,37,1,11542,76725,1
461,B,800000,800000,2,38,1,14099,7205,1
462,B,600000,300000,7,42,1,16508,30571,1
463,B,1000000,300000,7,54,1,24614,31646,1
464,B,1300000,1300000,2,47,1,191105,86031,1
465,B,800000,500000,1,55,1,3464,37717,1
466,B,1000000,1000000,2,40,1,45325,90279,1
467,B,1200000,1200000,2,58,1,53762,11564,1
468,B,1300000,1300000,2,64,0,102290,990,1
469,B,1300000,1300000,2,64,0,,990,1
470,B,900000,900000,2,57,1,20112,50100,1
471,B,800000,800000,2,50,1,32000,36504,1
472,A,300000,300000,13,71,1,30862,43918,1
473,B,1200000,1200000,7,76,1,27401,1690,1
474,B,800000,800000,2,51,1,5516,9029,1
475,B,1300000,300000,7,62,1,73052,4702,1
476,B,600000,600000,2,23,1,25910,15642,1
477,B,800000,800000,4,73,1,618,1872,1
478,B,1300000,1300000,2,48,1,207615,4836,1
479,B,600000,600000,2,53,1,12970,15486,1
480,B,800000,800000,2,51,1,11676,2923,1
481,B,800000,800000,2,31,1,27133,3842,1
482,B,1200000,1200000,2,51,1,21482,858,1
483,B,800000,800000,5,55,0,10022,2536,1
484,B,800000,200000,6,19,1,312803,9234,1
485,A,1100000,300000,6,24,1,,17829,1
486,B,600000,300000,7,56,1,37672,3703,1
487,B,1300000,1100000,8,75,0,303635,1449,1
488,B,800000,800000,4,59,1,4694,6861,1
489,B,600000,300000,7,37,1,29039,34128,1
490,A,700000,700000,2,43,1,30940,107089,1
491,B,800000,800000,2,38,1,0,180000,1
492,B,800000,800000,2,40,1,23000,41373,1
493,B,1000000,300000,7,49,1,419788,28265,1
494,B,800000,800000,5,67,1,40342,43088,1
495,B,1300000,1300000,2,39,1,189608,19647,1
496,B,1000000,1000000,2,64,0,0,73737,1
497,B,500000,500000,2,65,0,4180,21257,1
498,B,1300000,1300000,2,61,0,21276,38700,1
499,B,800000,800000,2,46,0,0,15711,1
500,B,800000,800000,2,62,1,38886,2682,1
501,B,800000,800000,4,70,1,0,0,1
502,B,1000000,1000000,3,46,1,14803,19224,1
503,B,1000000,1000000,2,49,0,,10980,1
504,B,700000,500000,8,80,1,447,11755,1
505,A,800000,800000,1,61,0,78375,180000,1
506,A,800000,800000,4,57,1,18406,66924,1
507,B,700000,700000,2,49,1,0,13356,1
508,R,1300000,1300000,5,69,0,261366,20393,1
509,B,1300000,1300000,2,52,1,3669,2884,1
510,B,800000,300000,4,67,1,21081,8990,1
511,B,600000,300000,7,53,1,36963,39555,1
512,B,1300000,1300000,4,48,1,177785,5363,1
513,B,1200000,1200000,2,75,1,2008,72198,1
514,B,700000,700000,8,85,1,11505,1206,1
515,B,700000,700000,8,72,1,0,3703,1
516,B,1200000,1200000,8,88,0,224912,16928,1
517,B,800000,800000,2,50,0,32739,23501,1
518,B,800000,800000,2,57,0,16720,23850,1
519,B,800000,300000,11,43,1,3990,45540,1
520,B,1300000,1300000,3,53,1,10034,1622,1
521,B,1300000,1300000,2,63,0,2784,43612,1
522,B,500000,500000,2,44,0,15109,64716,1
523,B,1300000,300000,7,61,1,13310,3069,1
524,B,500000,500000,12,52,1,5742,15850,1
525,B,800000,800000,2,36,1,23685,46203,1
526,B,700000,700000,2,64,0,0,3942,1
527,B,800000,800000,2,36,1,3172,83523,1
528,B,800000,800000,2,37,1,15588,32142,1
529,B,600000,600000,4,52,1,6270,25434,1
530,B,1000000,1000000,2,62,1,29355,8433,1
531,B,1300000,1300000,2,52,0,80647,29862,1
532,B,1300000,300000,7,51,1,84433,67301,1
533,B,800000,800000,2,44,1,0,15065,1
534,A,800000,800000,4,40,1,8902,4356,1
535,B,500000,500000,2,33,1,9880,7020,1
536,B,1200000,1200000,2,42,1,0,180000,1
537,B,1200000,1200000,2,42,1,253067,180000,1
538,B,500000,300000,7,42,1,12175,29014,1
539,B,700000,700000,2,59,1,11514,12696,1
540,B,800000,800000,2,36,1,25823,20925,1
541,B,1000000,300000,7,50,1,31688,97131,1
542,B,900000,300000,7,51,1,6312,25385,1
543,R,1200000,1200000,2,42,0,15784,3583,1
544,B,800000,800000,2,35,1,2766,28800,1
545,B,600000,300000,8,79,1,21444,11572,1
546,B,800000,800000,2,38,0,24757,107640,1
547,B,1200000,1200000,12,57,1,409663,8973,1
548,A,1000000,300000,7,48,1,33601,23388,1
549,B,500000,300000,1,45,1,1650,58068,1
550,B,800000,800000,2,38,1,0,25416,1
551,B,800000,800000,2,38,1,173556,61944,1
552,B,800000,800000,2,40,1,16739,27999,1
553,B,700000,700000,2,35,0,0,16920,1
554,B,800000,800000,2,36,1,3470,20880,1
555,B,800000,800000,2,35,1,82331,0,1
556,B,700000,300000,3,45,1,,12510,1
557,B,600000,600000,2,44,1,33702,123300,1
558,B,400000,400000,13,61,1,26118,180000,1
559,B,800000,300000,7,44,1,0,42597,1
560,B,1300000,1300000,2,50,1,59059,17997,1
561,B,700000,700000,2,37,1,45021,149922,1
562,B,700000,300000,5,67,1,859,36226,1
563,B,800000,300000,7,44,1,9823,9306,1
564,B,1200000,1200000,4,45,1,105857,47871,1
565,B,800000,800000,2,54,1,40306,69839,1
566,B,1300000,1300000,2,53,1,181666,88790,1
567,B,800000,300000,4,65,1,0,61335,1
568,B,800000,800000,8,73,1,20124,3826,1
569,B,700000,700000,5,48,1,33000,40581,1
570,B,700000,300000,7,69,1,5801,8166,1
571,B,800000,300000,7,48,1,52374,12078,1
572,B,1200000,1200000,2,44,0,96655,12960,1
573,B,200000,200000,4,76,1,29770,5801,1
574,B,1300000,300000,4,69,1,131316,13005,1
575,B,800000,300000,7,61,1,10973,41472,1
